"sampleID"	"month"	"subplot"	"x"	"y"	"OTU_all_taxa"
144	"June"	12	9.68	6.25	30
145	"June"	13	0.34	4.75	26
146	"June"	13	0.34	4.25	29
147	"June"	14	2.505	4.75	24
148	"June"	14	2.505	4.25	29
149	"June"	15	4.67	5.75	25
150	"June"	15	4.67	5.25	28
151	"June"	16	5.35	4.75	35
152	"June"	16	5.35	4.25	23
153	"June"	17	7.02	5.75	25
154	"June"	17	7.02	5.25	31
155	"June"	18	9.68	4.75	26
156	"June"	18	9.68	4.25	27
157	"June"	19	0.34	2.75	38
158	"June"	19	0.34	2.25	20
159	"June"	20	2.01	3.75	24
160	"June"	20	2.01	3.25	32
161	"June"	21	4.175	2.75	25
162	"June"	21	4.175	2.25	35
163	"June"	22	6.34	2.75	32
164	"June"	22	6.34	2.25	36
165	"June"	23	7.515	3.75	33
166	"June"	23	7.515	3.25	28
167	"June"	24	9.185	3.75	29
168	"June"	24	9.185	3.25	37
169	"June"	25	1.33	0.75	18
170	"June"	25	1.33	0.25	16
171	"June"	26	2.505	1.75	19
172	"June"	26	2.505	1.25	20
173	"June"	27	4.175	1.75	21
174	"June"	27	4.175	1.25	17
175	"June"	28	5.35	1.75	24
176	"June"	28	5.35	1.25	20
177	"June"	29	7.02	0.75	24
178	"June"	29	7.02	0.25	14
179	"June"	30	9.185	0.75	21
180	"June"	30	9.185	0.25	24
181	"August"	1	1.33	9.75	28
182	"August"	1	1.33	9.25	23
183	"August"	2	2.505	9.75	29
184	"August"	2	2.505	9.25	20
185	"August"	3	3.68	8.75	30
186	"August"	3	3.68	8.25	26
187	"August"	4	5.35	8.75	23
188	"August"	4	5.35	8.25	26
189	"August"	5	8.01	9.75	27
190	"August"	5	8.01	9.25	22
191	"August"	6	8.69	8.75	23
192	"August"	6	8.69	8.25	22
193	"August"	7	0.34	7.75	22
194	"August"	7	0.34	7.25	24
195	"August"	8	2.505	6.75	28
196	"August"	8	2.505	6.25	22
197	"August"	9	4.175	7.75	19
198	"August"	9	4.175	7.25	18
199	"August"	10	6.34	6.75	18
200	"August"	10	6.34	6.25	13
201	"August"	11	7.515	6.75	21
202	"August"	11	7.515	6.25	13
203	"August"	12	8.69	6.75	19
204	"August"	12	8.69	6.25	18
205	"August"	13	1.33	5.75	27
206	"August"	13	1.33	5.25	31
207	"August"	14	3	5.75	20
208	"August"	14	3	5.25	18
209	"August"	15	4.67	4.75	23
210	"August"	15	4.67	4.25	33
211	"August"	16	5.845	5.75	28
212	"August"	16	5.845	5.25	21
213	"August"	17	8.01	4.75	23
214	"August"	17	8.01	4.25	25
215	"August"	18	8.69	4.75	30
216	"August"	18	8.69	4.25	25
217	"August"	19	0.34	3.75	29
218	"August"	19	0.34	3.25	25
219	"August"	20	2.505	2.75	24
220	"August"	20	2.505	2.25	30
221	"August"	21	4.67	2.75	17
222	"August"	21	4.67	2.25	27
223	"August"	22	5.845	3.75	21
224	"August"	22	5.845	3.25	30
225	"August"	23	8.01	3.75	21
226	"August"	23	8.01	3.25	21
227	"August"	24	8.69	2.75	23
228	"August"	24	8.69	2.25	18
229	"August"	25	0.835	1.75	19
230	"August"	25	0.835	1.25	11
231	"August"	26	2.01	0.75	12
232	"August"	26	2.01	0.25	15
233	"August"	27	3.68	1.75	19
234	"August"	27	3.68	1.25	25
235	"August"	28	5.845	1.75	19
236	"August"	28	5.845	1.25	17
237	"August"	29	7.02	1.75	19
238	"August"	29	7.02	1.25	22
239	"August"	30	9.68	1.75	25
240	"August"	30	9.68	1.25	21
241	"October"	1	0.34	9.75	25
242	"October"	1	0.34	9.25	31
243	"October"	2	2.01	9.75	36
244	"October"	2	2.01	9.25	28
245	"October"	3	4.175	9.75	35
246	"October"	3	4.175	9.25	27
247	"October"	4	5.35	9.75	27
248	"October"	4	5.35	9.25	33
249	"October"	5	7.02	9.75	24
250	"October"	5	7.02	9.25	34
251	"October"	6	8.69	9.75	32
252	"October"	6	8.69	9.25	34
253	"October"	7	0.835	6.75	25
254	"October"	7	0.835	6.25	28
255	"October"	8	2.01	7.75	26
256	"October"	8	2.01	7.25	33
257	"October"	9	4.67	6.75	25
258	"October"	9	4.67	6.25	31
259	"October"	10	5.35	6.75	29
260	"October"	10	5.35	6.25	23
261	"October"	11	8.01	7.75	28
262	"October"	11	8.01	7.25	33
263	"October"	12	9.68	7.75	25
264	"October"	12	9.68	7.25	26
265	"October"	13	0.835	5.75	33
266	"October"	13	0.835	5.25	34
267	"October"	14	2.01	4.75	36
268	"October"	14	2.01	4.25	41
269	"October"	15	3.68	4.75	39
270	"October"	15	3.68	4.25	32
271	"October"	16	6.34	4.75	33
272	"October"	16	6.34	4.25	34
273	"October"	17	8.01	5.75	38
274	"October"	17	8.01	5.25	28
275	"October"	18	8.69	5.75	30
276	"October"	18	8.69	5.25	32
277	"October"	19	0.835	2.75	33
278	"October"	19	0.835	2.25	26
279	"October"	20	3	3.75	32
280	"October"	20	3	3.25	42
281	"October"	21	3.68	2.75	35
282	"October"	21	3.68	2.25	33
283	"October"	22	5.845	2.75	39
284	"October"	22	5.845	2.25	35
285	"October"	23	7.02	3.75	39
286	"October"	23	7.02	3.25	39
287	"October"	24	8.69	3.75	36
288	"October"	24	8.69	3.25	28
289	"October"	25	1.33	1.75	26
290	"October"	25	1.33	1.25	45
291	"October"	26	2.01	1.75	26
292	"October"	26	2.01	1.25	29
293	"October"	27	3.68	0.75	29
294	"October"	27	3.68	0.25	32
295	"October"	28	5.35	0.75	25
296	"October"	28	5.35	0.25	28
297	"October"	29	7.515	0.75	25
298	"October"	29	7.515	0.25	29
299	"October"	30	9.68	0.75	23
300	"October"	30	9.68	0.25	26
301	"November"	1	0.34	8.75	24
302	"November"	1	0.34	8.25	26
303	"November"	2	2.01	8.75	20
304	"November"	2	2.01	8.25	18
305	"November"	3	4.67	9.75	20
306	"November"	3	4.67	9.25	25
307	"November"	4	5.845	8.75	22
308	"November"	4	5.845	8.25	17
309	"November"	5	8.01	8.75	18
310	"November"	5	8.01	8.25	18
311	"November"	6	9.68	8.75	23
312	"November"	6	9.68	8.25	17
313	"November"	7	0.34	6.75	21
314	"November"	7	0.34	6.25	24
315	"November"	8	2.01	6.75	16
316	"November"	8	2.01	6.25	27
317	"November"	9	3.68	7.75	21
318	"November"	9	3.68	7.25	21
319	"November"	10	5.845	6.75	21
320	"November"	10	5.845	6.25	18
321	"November"	11	8.01	6.75	21
322	"November"	11	8.01	6.25	20
323	"November"	12	9.185	7.75	29
324	"November"	12	9.185	7.25	22
325	"November"	13	1.33	4.75	32
326	"November"	13	1.33	4.25	27
327	"November"	14	2.01	5.75	29
328	"November"	14	2.01	5.25	24
329	"November"	15	4.175	4.75	26
330	"November"	15	4.175	4.25	23
331	"November"	16	6.34	5.75	28
332	"November"	16	6.34	5.25	18
333	"November"	17	7.515	4.75	15
334	"November"	17	7.515	4.25	16
335	"November"	18	9.185	4.75	24
336	"November"	18	9.185	4.25	21
337	"November"	19	0.835	3.75	38
338	"November"	19	0.835	3.25	32
339	"November"	20	2.505	3.75	16
340	"November"	20	2.505	3.25	22
341	"November"	21	4.67	3.75	22
342	"November"	21	4.67	3.25	27
343	"November"	22	5.35	2.75	24
344	"November"	22	5.35	2.25	25
345	"November"	23	8.01	2.75	25
346	"November"	23	8.01	2.25	28
347	"November"	24	9.68	3.75	31
348	"November"	24	9.68	3.25	27
349	"November"	25	0.34	1.75	19
350	"November"	25	0.34	1.25	17
351	"November"	26	3	1.75	22
352	"November"	26	3	1.25	18
353	"November"	27	4.175	0.75	24
354	"November"	27	4.175	0.25	29
355	"November"	28	6.34	0.75	27
356	"November"	28	6.34	0.25	27
357	"November"	29	8.01	0.75	26
358	"November"	29	8.01	0.25	27
359	"November"	30	9.185	1.75	24
360	"November"	30	9.185	1.25	22
